scene,dataset,detector,standardized,n_px,n_anom,anom_frac,roc_auc,pr_auc,precision,recall,f1,runtime_s,peak_rss_mb,components,status,note
abu-airport-1,abu,global_rx,True,10000,144,0.0144,0.818980119273088,0.09965629557101188,0.01622857142857143,0.9861111111111112,0.03193163930739825,0.10986395499639912,66.702832,,ok,
abu-airport-1,abu,local_rx,True,10000,144,0.0144,0.9615385157377345,0.37350594818269894,0.04639006860503104,0.9861111111111112,0.08861154446177846,0.5949617480000597,238.012032,,ok,
abu-airport-1,abu,kernel_rx,True,10000,144,0.0144,0.8838707950036075,0.0766495765024813,0.0244701016715492,0.9861111111111112,0.04775517067428956,1.7021934810036328,314.794459,,ok,
abu-airport-1,abu,crd,True,10000,144,0.0144,0.9667341664411978,0.32360186710881056,0.059890341628005064,0.9861111111111112,0.11292246520874752,52.087484707997646,1075.604435,,ok,
abu-airport-1,abu,fused,True,10000,144,0.0144,0.9350934709821428,0.32948581225753804,0.02790880503144654,0.9861111111111112,0.05428134556574924,0.6272131369987619,233.879041,ace+rx+spatial,ok,
abu-airport-2,abu,global_rx,True,10000,87,0.0087,0.8404701361616176,0.20406593253003746,0.00977939504207414,0.9885057471264368,0.019367188379686973,0.19769541000277968,66.702148,,ok,
abu-airport-2,abu,local_rx,True,10000,87,0.0087,0.9328549182485323,0.20749273083997918,0.023019271948608137,0.9885057471264368,0.04499084488621502,0.3499453039985383,233.837778,,ok,
abu-airport-2,abu,kernel_rx,True,10000,87,0.0087,0.9687969240437786,0.2867068398122981,0.04581779435269046,0.9885057471264368,0.08757637474541752,1.6280774449987803,314.790463,,ok,
abu-airport-2,abu,crd,True,10000,87,0.0087,0.9447839885161827,0.19546764978424733,0.024383328607882053,0.9885057471264368,0.047592695074709465,50.56666588399821,1075.604139,,ok,
abu-airport-2,abu,fused,True,10000,87,0.0087,0.8971001738110064,0.35803107412810237,0.013298283593629194,0.9885057471264368,0.026243515410436374,0.5797527480026474,233.878887,ace+rx+spatial,ok,
abu-airport-3,abu,global_rx,True,10000,170,0.017,0.9281446352701814,0.24748274913155438,0.03528417494189732,0.9823529411764705,0.06812155822965531,0.11100483700283803,66.702102,,ok,
abu-airport-3,abu,local_rx,True,10000,170,0.017,0.9112991442762254,0.2762660125458927,0.023511192453892722,0.9823529411764705,0.04592327787707961,0.304681066001649,233.837568,,ok,
