dataset,detector,n_scenes,n_failed,roc_auc_MACRO,roc_auc_micro,pr_auc_MACRO,pr_auc_micro,precision_MACRO,precision_micro,recall_MACRO,recall_micro,f1_MACRO,f1_micro,runtime_s_MACRO,peak_rss_mb_MACRO
abu,crd,13,0,0.967431935261674,0.960236928232191,0.4299203677170048,0.39245492938498505,0.11737346575262185,0.11615568688163608,0.9858969659130842,0.9831059129304743,0.18899549550667327,0.19765090377579575,51.18193071776925,1063.183834076923
abu,kernel_rx,13,0,0.962364855398217,0.9574452264484761,0.3150313068478861,0.35148452952466797,0.10566092776066248,0.1646825957350902,0.9858969659130842,0.9831059129304743,0.16816349131921818,0.25151648036404123,1.6891425533086966,363.19525976923074
abu,global_rx,13,0,0.9446764426570688,0.9410920380607846,0.37199754992348694,0.3630420311882636,0.12528812602246672,0.15316515052618465,0.9876752951107682,0.9844054580896686,0.1959119318812212,0.24207683999298,0.13930054115245674,71.20606015384615
abu,local_rx,13,0,0.9389462140724126,0.9258107709719944,0.3742066225745653,0.30016835432353006,0.08258217923335824,0.053924435063973965,0.9858969659130842,0.9831059129304743,0.1252270600584928,0.09757355274193859,0.38720398969151293,279.0495542307692
abu,fused,13,0,0.9350426100573372,0.9214429694612055,0.3774105318832773,0.29223498368798295,0.10270962877210166,0.056573110730575006,0.9858969659130842,0.9831059129304743,0.1342843354122469,0.09993468952262193,0.7032914090775123,278.7703632307693
hydice,local_rx,1,0,0.9976306853108458,0.9976306853108458,0.523672480666098,0.523672480666098,0.17647058823529413,0.17647058823529413,1.0,1.0,0.3,0.3,0.2774230730065028,187.140727
hydice,crd,1,0,0.997463579992719,0.9974635799927191,0.6585748694009456,0.6585748694009456,0.1044776119402985,0.1044776119402985,1.0,1.0,0.18918918918918917,0.18918918918918917,35.72137718000158,1019.661351
hydice,global_rx,1,0,0.9857244313943149,0.985724431394315,0.21938553214403583,0.21938553214403583,0.022364217252396165,0.022364217252396165,1.0,1.0,0.04375,0.04375,0.1209969980045571,45.610308
hydice,fused,1,0,0.9722247089085039,0.9722247089085039,0.2834161046211497,0.2834161046211497,0.016679904686258934,0.016679904686258934,1.0,1.0,0.032812499999999994,0.032812499999999994,0.5053521109948633,187.173969
hydice,kernel_rx,1,0,0.9451357432307426,0.9451357432307426,0.6043339227082911,0.6043339227082911,0.003870254330998894,0.0038702543309988937,1.0,1.0,0.007710666421883605,0.007710666421883604,1.2256434680020902,256.084401
